start,end,density,mass
-1.0816333333333334,-1.0761866666666666,0.20062903376577418,0.0010927594705776144
-1.0761866666666666,-1.07074,0.2003496608272352,0.001091237819305661
-1.07074,-1.0652933333333334,0.200074066773075,0.001089736750357335
-1.0652933333333334,-1.0598466666666666,0.19978622745151675,0.0010881689855192923
-1.0598466666666666,-1.0544,0.19949751490818504,0.0010865964645332346
-1.0544,-1.0489533333333334,0.19920302241376586,0.001084992462080298
-1.0489533333333334,-1.0435066666666666,0.19890882737482132,0.0010833900797682244
-1.0435066666666666,-1.03806,0.1986118283817957,0.001081772425252834
-1.03806,-1.0326133333333334,0.1982972213917193,0.0010800588658468845
-1.0326133333333334,-1.0271666666666666,0.19799720063768467,0.00107842475280662
-1.0271666666666666,-1.02172,0.19769133466976252,0.0010767588028346266
